subject	predicate	object	evidence_class
CL 0002138	HRA has_marker_component	HGNC 7035	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 1527	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 8021	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 8051	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 1611	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
CL 0002138	HRA has_marker_component	HGNC 8823	HRA bn-729de08e012b6df5d64a8d55f6cf05f9
HRA temp-splat342	HRA has_marker_component	HGNC 53225	HRA bn-7bd0ac1ace87c44bb161c29c411aa71d
HRA temp-splat342	HRA has_marker_component	HGNC 49024	HRA bn-7bd0ac1ace87c44bb161c29c411aa71d
HRA temp-llc269	HRA has_marker_component	HGNC 16213	HRA bn-28df798f6c4052a6c67ab6e437da28ea
HRA temp-llc269	HRA has_marker_component	HGNC 16938	HRA bn-28df798f6c4052a6c67ab6e437da28ea
HRA temp-llc269	HRA has_marker_component	HGNC 19898	HRA bn-28df798f6c4052a6c67ab6e437da28ea
HRA temp-ganglion	HRA has_marker_component	HGNC 6839	HRA bn-f4e0cbbbb8572c779c79cfda41745178
HRA temp-ganglion	HRA has_marker_component	HGNC 9461	HRA bn-f4e0cbbbb8572c779c79cfda41745178
CL 0002064	HRA has_marker_component	HGNC 9475	HRA bn-cef5586ea5334efb8ced1efbd2a6ba80
CL 0002064	HRA has_marker_component	HGNC 6446	HRA bn-cef5586ea5334efb8ced1efbd2a6ba80
CL 0002064	HRA has_marker_component	HGNC 6430	HRA bn-cef5586ea5334efb8ced1efbd2a6ba80
CL 0002064	HRA has_marker_component	HGNC 15944	HRA bn-cef5586ea5334efb8ced1efbd2a6ba80
CL 0002064	HRA has_marker_component	HGNC 2521	HRA bn-cef5586ea5334efb8ced1efbd2a6ba80
CL 0002064	HRA has_marker_component	HGNC 477	HRA bn-cef5586ea5334efb8ced1efbd2a6ba80
HRA temp-emsn229	HRA has_marker_component	HGNC 14632	HRA bn-d244dd12e4b57bd1a0bad5d0163b6b9f
HRA temp-emsn229	HRA has_marker_component	HGNC 10669	HRA bn-d244dd12e4b57bd1a0bad5d0163b6b9f
